linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
208,C38,HIGBALRET,HIGIENITA BALDE RETRATIL,0,HIGIENITA BALDE RETRATIL 10L,catalogo,100,
209,C39,FINISHFLOR1L,SPARTAN EASYFRESH FLORAL 1L,18,SPARTAN FINISHERFRESH FLORAL 1L,catalogo,80.0,
210,C40,EASYBQ2,SPARTAN EASYFRESH BOUQUET 2L,29,SPARTAN EASYFRESH BOUQUET  2 LITROS,catalogo,85.0,
211,C41,FINISHBOUQ1L,SPARTAN FINISHERFRESH SUMMER 1l,94,SPARTAN FINISHERFRESH BOUQUET  1L,catalogo,82.0,
212,C41,FINISHFLOR1L,SPARTAN FINISHERFRESH FLORAL 1L,82,SPARTAN FINISHERFRESH FLORAL 1L,catalogo,100,
213,C41,,SPARTAN BRASSPOLISH 1L,0,SPARTAN BRASSPOLISH 1L,planilha,0,sim
214,C41,YELOW5L,SPARTAN YELLOW PINE 5L,288,SPARTAN YELLOW PINE 5L,catalogo,100,
215,C41,,"SPARTAN SPRAYS CASCAS E FOLHAS, CHÁ BRANCO, MAÇA E CANELA E POLIDOR DE METAIS",4,"SPARTAN SPRAYS CASCAS E FOLHAS, CHÁ BRANCO, MAÇA E CANELA E POLIDOR DE METAIS",planilha,0,sim
218,D01,FLOORCL5L,SEVENGEL FLOOR CLEAN 5L,0,RRGJ FLOOR CLEAN 5L,catalogo,75.8,sim
219,D02,,"START GEL LIMPADOR LAVANDA, MARINER, ERVA DOCE E FLORAL",42,"START GEL LIMPADOR LAVANDA, MARINER, ERVA DOCE E FLORAL",planilha,0,sim
220,D03,,EMBALIXO CITRUS,139,EMBALIXO CITRUS,planilha,0,sim
221,D04,LIMPCANIL5L,SEVENGEL LIMPA CANIL 5L,2,SEVENGEL LIMPA CANIL LIM+ 5L,catalogo,94.8,
222,D05,LIMPGRE,START FLOTADOR 500ML E LIMPA GRELHAS 500ML,0,START AZULIM LIMPA GRELHAS 500ML,catalogo,72.5,sim
223,D06,,EMBALIXO BRANCO,30,EMBALIXO BRANCO,planilha,0,sim
